2020-12-16 14:11:10,395 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:11:11,333 | source.tfidf | INFO | __init__ function was called.
2020-12-16 14:14:09,699 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:14:09,758 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:14:10,678 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:14:10,678 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:14:11,108 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:14:11,108 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:14:23,601 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:14:24,038 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:14:24,038 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:14:24,401 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:14:24,822 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:14:24,822 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:14:31,621 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:14:31,959 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:14:43,720 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:14:47,808 | source.word2vec | INFO | calc_context function was called.
2020-12-16 14:14:47,808 | source.word2vec | INFO | __init__ function was called.
2020-12-16 14:14:55,595 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:14:55,876 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:15:06,740 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:15:07,743 | source.tfidf | INFO | __init__ function was called.
2020-12-16 14:16:04,097 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:16:04,148 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:16:05,157 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:16:05,157 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:16:05,590 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:16:05,590 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:16:18,116 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:16:18,582 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:16:18,582 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:16:18,931 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:16:19,369 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:16:19,369 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:16:26,337 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:16:26,683 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:16:38,393 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:16:42,422 | source.word2vec | INFO | calc_context function was called.
2020-12-16 14:16:42,422 | source.word2vec | INFO | __init__ function was called.
2020-12-16 14:16:50,302 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:16:50,570 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:17:01,399 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:17:02,338 | source.tfidf | INFO | __init__ function was called.
2020-12-16 14:28:10,622 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:28:10,726 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:28:18,058 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:28:18,058 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:28:25,341 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:28:25,675 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:28:37,394 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:28:51,595 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:28:51,865 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:29:02,558 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:29:06,656 | source.word2vec | INFO | calc_context function was called.
2020-12-16 14:29:06,656 | source.word2vec | INFO | __init__ function was called.
2020-12-16 14:29:43,701 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:29:43,769 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:29:44,690 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:29:44,690 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:29:45,097 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:29:45,097 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:29:57,541 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:29:57,998 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:29:57,998 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:29:58,344 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:29:58,758 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:29:58,758 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:30:05,915 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:30:06,275 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:30:17,972 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:30:22,159 | source.word2vec | INFO | calc_context function was called.
2020-12-16 14:30:22,159 | source.word2vec | INFO | __init__ function was called.
2020-12-16 14:30:29,885 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:30:30,147 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:30:41,172 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:30:42,129 | source.tfidf | INFO | __init__ function was called.
2020-12-16 14:35:31,021 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:35:31,145 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:37:56,852 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:37:56,905 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:37:57,942 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:37:57,942 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:37:58,381 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:37:58,381 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:38:10,909 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:38:11,355 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:38:11,355 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:38:11,732 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:38:12,154 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:38:12,154 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:38:19,178 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:38:19,561 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:38:31,285 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:38:35,372 | source.word2vec | INFO | calc_context function was called.
2020-12-16 14:38:35,372 | source.word2vec | INFO | __init__ function was called.
2020-12-16 14:38:43,798 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:38:44,471 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:38:55,588 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:38:56,561 | source.tfidf | INFO | __init__ function was called.
2020-12-16 14:49:02,333 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:49:02,384 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:53:27,080 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:53:27,129 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:53:28,016 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:53:28,016 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:53:28,491 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:53:28,491 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:53:40,961 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:53:41,402 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:53:41,402 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:53:41,749 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:53:42,178 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:53:42,178 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:53:49,623 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:53:49,962 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:54:01,693 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:54:05,779 | source.word2vec | INFO | calc_context function was called.
2020-12-16 14:54:05,779 | source.word2vec | INFO | __init__ function was called.
2020-12-16 14:54:14,118 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:54:14,412 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:54:25,373 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:54:26,462 | source.tfidf | INFO | __init__ function was called.
2020-12-16 14:54:39,831 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:54:39,894 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:55:38,940 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-16 14:55:38,986 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-16 14:55:39,843 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:55:39,843 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:55:40,277 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:55:40,277 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:55:52,751 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:55:53,193 | source.corpora | INFO | read_corpora function was called.
